date,start_time,open,high,low,close,volume,end_time,volume_usd,n_trades,taker_volume,taker_volume_usd
2020-05-12,1589155200000,187.48,193.44,175.5,185.69,2311029.197,1589241599999,429270139.29081,527835,1136163.531,211163371.53666
2020-05-13,1589241600000,185.68,192.31,185.4,189.64,1261058.639,1589327999999,238588953.57139,340517,632008.189,119596462.74748
2020-05-14,1589328000000,189.64,200.95,187.64,199.54,1373737.58,1589414399999,267245495.976,346257,712840.19,138762208.79291
2020-05-15,1589414400000,199.53,205.95,195.56,203.13,1892551.091,1589500799999,380305674.97201,476240,935640.693,188112545.66059
2020-05-16,1589500800000,203.1,203.99,191.21,194.71,1377796.956,1589587199999,273307743.27705,419743,643566.319,127754849.07853
2020-05-17,1589587200000,194.72,203.46,193.2,200.39,1100996.922,1589673599999,220055609.9461,379947,569153.844,113772083.23019
2020-05-18,1589673600000,200.4,210.16,199.5,206.93,1067367.779,1589759999999,218892160.12065,376453,565182.993,115883197.65561
2020-05-19,1589760000000,206.9,217.2,206.9,214.83,1527493.953,1589846399999,325316559.17037,486047,750914.407,159976325.72143
2020-05-20,1589846400000,214.83,215.99,209.32,214.7,1209630.47,1589932799999,257251108.96285,478427,600605.572,127802627.56838
2020-05-21,1589932800000,214.69,215.85,206.02,209.96,1322809.976,1590019199999,279696340.13428,450724,616491.938,130437079.98249
2020-05-22,1590019200000,209.99,211.69,191.61,198.68,1812327.033,1590105599999,366782519.68942,478043,858529.284,173855718.1685
2020-05-23,1590105600000,198.69,209.22,195.95,207.28,1415586.292,1590191999999,287619795.23226,378567,750982.753,152610291.04491
2020-05-24,1590192000000,207.31,211.2,204.47,206.51,1093535.486,1590278399999,227019949.01277,306675,554105.626,115072686.13286
2020-05-25,1590278400000,206.46,210.54,199.24,199.7,1534431.164,1590364799999,316070681.24532,450498,750301.676,154684861.02078
2020-05-26,1590364800000,199.7,205.66,197.72,204.1,992843.927,1590451199999,201511206.07324,396003,508564.407,103242625.95694
2020-05-27,1590451200000,204.1,205.05,196.68,200.91,1053386.195,1590537599999,212361617.55361,369707,515182.166,103911955.09801
2020-05-28,1590537600000,200.89,208.48,200.69,208.27,949312.616,1590623999999,194678762.77842,354584,519768.571,106588796.09469
2020-05-29,1590624000000,208.27,220.79,204.55,220.32,1302485.446,1590710399999,275853034.40081,456508,698082.969,147950152.78307
2020-05-30,1590710400000,220.31,225.0,217.0,220.65,1412528.305,1590796799999,311884016.19261,503061,694278.85,153343433.13034
2020-05-31,1590796800000,220.65,247.85,218.77,243.74,2496490.987,1590883199999,585564863.55064,755218,1285275.98,301535374.86811
2020-06-01,1590883200000,243.73,245.3,229.54,231.55,2064900.485,1590969599999,489701677.03937,558819,979536.079,232409178.06501
2020-06-02,1590969600000,231.55,252.8,230.61,248.9,2168854.578,1591055999999,522438717.22123,587226,1134653.651,273493708.93315
2020-06-03,1591056000000,248.91,254.48,220.0,237.73,1997511.516,1591142399999,482361317.69117,660078,945637.486,228533906.52192
2020-06-04,1591142400000,237.74,245.23,233.3,244.52,1177836.333,1591228799999,281645740.99126,488449,609178.834,145739420.93825
2020-06-05,1591228800000,244.52,246.7,235.75,243.28,1658566.857,1591315199999,402459677.30633,566658,804490.529,195313553.4582
2020-06-06,1591315200000,243.29,248.36,238.68,240.13,1287620.696,1591401599999,312982105.00055,492819,628943.722,152986326.74566
2020-06-07,1591401600000,240.12,244.89,237.91,242.05,838620.358,1591487999999,202429929.69899,395601,425877.028,102857288.32033
2020-06-08,1591488000000,242.06,245.61,234.64,244.66,1343974.146,1591574399999,322855661.22177,449450,660432.69,158814664.67235
2020-06-09,1591574400000,244.67,248.05,241.04,246.65,857037.392,1591660799999,209012260.96756,359385,431628.766,105307849.51097
2020-06-10,1591660800000,246.64,250.1,237.3,243.98,1120313.696,1591747199999,272824173.15009,423086,548534.685,133671771.26579
2020-06-11,1591747200000,243.98,251.0,241.0,247.95,1101191.092,1591833599999,270438018.28235,417318,572161.041,140604714.95209
2020-06-12,1591833600000,247.95,250.34,225.33,230.48,1937518.384,1591919999999,463593288.19211,581593,891482.445,213351732.27579
2020-06-13,1591920000000,230.48,239.38,228.3,237.46,958938.087,1592006399999,225982481.27438,393900,489143.223,115268052.35928
2020-06-14,1592006400000,237.47,238.88,234.6,238.17,562091.362,1592092799999,133082474.15789,311442,279284.772,66155311.43801
2020-06-15,1592092800000,238.14,238.59,229.9,231.92,787142.212,1592179199999,184729377.14818,323956,356707.362,83751950.49674
2020-06-16,1592179200000,231.92,233.64,218.02,230.86,1960437.997,1592265599999,443458580.66509,520180,967115.382,218911046.16336
2020-06-17,1592265600000,230.85,236.0,228.75,235.22,989098.472,1592351999999,230773103.93013,314960,491937.731,114803509.1738
